标题,价格,样式,楼层,朝向,面积,小区,地址
莱兴公寓，交通便利，2室1厅，钥匙在店,7500元/月,2室 1厅,低区/20层,朝北,黄浦 打浦桥,莱兴公寓,斜土路766弄1号
光线充足，出行方便，链家好房，实地看房,4000元/月,2室 1厅,中区/6层,暂无数据,杨浦 中原,民星二村,"民星路400弄,民星路420号,民星二村"
上下楼方便，新鲜上架，钥匙房，放心好房,5300元/月,1室 1厅,低区/6层,暂无数据,浦东 源深,梅园二街坊,"福山路40弄,栖霞路300弄"
新鲜上架，附近有地铁，实地看房，钥匙在店,3500元/月,1室 0厅,高区/6层,朝南,浦东 塘桥,南泉小区,"南泉路1250弄,南泉路1300弄,南泉......"
保利西子湾，人气房源，高区景观房，有钥匙房源,3500元/月,1室 2厅,高区/18层,朝南,松江 松江大学城,保利西子湾,广富林路1188弄
人气房源，抢鲜笋盘，有钥匙方便看，有爱有家,4500元/月,2室 2厅,低区/18层,朝南,松江 松江大学城,保利西子湾,广富林路1188弄
航华二村，地铁沿线，链家房源，光线非常好,4600元/月,2室 1厅,高区/6层,朝南,闵行 航华,航华二村,"航华二村二街坊1-57号,"
新出好房，享受好房，光线非常好，人气房源,3800元/月,1室 1厅,高区/18层,朝南北,松江 松江大学城,御上海,谷阳北路2399弄
两室户，实地看房，近地铁，钥匙在店,9500元/月,2室 2厅,高区/13层,暂无数据,长宁 天山,天山中华园,天山路209弄
延西小区，高清大图，人气房源，新上房源,6800元/月,2室 1厅,低区/6层,朝南北,长宁 新华路,延西小区,延安西路1740弄
阳光花城，新出房源，放心好房，钥匙在链家,12000元/月,3室 2厅,低区/18层,暂无数据,浦东 张江,阳光花城,紫薇路667弄1-177号
静安枫景苑，人气房源，好楼层，好房好心情,21000元/月,3室 2厅,中区/37层,朝南,静安 江宁路,静安枫景苑,常德路500弄
九歌中庭，人气房源，钥匙在链家，链家房源,4000元/月,1室 0厅,高区/9层,暂无数据,闵行 静安新城,九歌中庭,"漕宝路1467弄六区,"
殷行路315号，享受好房，1室1厅，出行方便,3100元/月,1室 1厅,低区/6层,暂无数据,杨浦 中原,殷行路315号,殷行路315号
高清照片，附近有地铁，好房好心情，新鲜上架,15000元/月,3室 2厅,高区/5层,朝南北,浦东 张江,汤臣豪园一期,龙东大道666弄
链家好房，链家有钥匙，小户型，新鲜上架,5200元/月,1室 1厅,低区/6层,朝东北,长宁 中山公园,欣怡小区,武夷路423弄1-12号
开城新村，南北直通，出行方便，好房好心情,5000元/月,2室 2厅,高区/6层,朝南北,闵行 莘庄,开城新村,莘朱路81弄
三湘四季花城，适合自住，链家房源，房型正气,5200元/月,2室 2厅,低区/18层,朝南北,松江 松江大学城,三湘四季花城,"广富林路1599弄,梅家浜路1508弄"
国际丽都城，新鲜挂牌，有爱有家，地铁沿线,13500元/月,1室 2厅,低区/23层,暂无数据,静安 南京西路,国际丽都城,"北京西路758弄,石门二路199弄"
3室2厅1卫，如您所见，钥匙在店，上门实勘,4800元/月,3室 2厅,低区/11层,朝南北,浦东 金桥,森兰名轩,兰谷路2500弄
泉东，有钥匙，房型正气，2室1厅1卫,5800元/月,2室 1厅,高区/6层,朝南北,浦东 潍坊,泉东（二）小区,"南泉北路1040弄,"
实地看房，南北直通，有爱有家，地铁沿线,5800元/月,2室 1厅,中区/5层,朝南北,浦东 塘桥,微山新村,微山新村
链家好房，生活很便利，高区景观好，实地看房,4000元/月,1室 1厅,高区/12层,朝南,宝山 上大,锦秋花园（公寓）,锦秋路699弄
看房有钥匙，人气房源，采光棒，享受好房,11000元/月,3室 2厅,高区/26层,暂无数据,杨浦 周家嘴路,宝地东花园,"唐山路1188弄,唐山路1099弄"
乐山二村，出行方便，最近看房多，钥匙在店,6800元/月,2室 0厅,中区/7层,暂无数据,徐汇 徐家汇,乐山二村,"乐山支路4弄1-13号,乐山支路8弄1-......"
钥匙房，一链倾城，两室户，实地看房,5000元/月,2室 1厅,低区/7层,朝南北,黄浦 黄浦滨江,共和园小区,"中华路106弄5支弄,中华路128弄,老......"
江南星城，南北通，地铁沿线，看房客户多,6500元/月,2室 2厅,低区/6层,朝南北,闵行 古美,江南星城,"顾戴路1199弄（一期）,顾戴路1325......"
中东小区，视野开阔，附近有地铁，链家好房,5600元/月,2室 0厅,高区/6层,朝西,长宁 新华路,中东小区,中山西路945弄
汤臣商务中心，空气清新，钥匙房，温馨一室,9000元/月,1室 0厅,中区/25层,暂无数据,浦东 陆家嘴,汤臣商务中心,"张杨路188号,张杨路228号,张杨路1......"
金宇名邸，链家好房，链家有钥匙，生活很便利,6600元/月,2室 1厅,中区/16层,朝南,杨浦 黄兴公园,金宇名邸,靖宇南路118弄
本溪路149弄，看房方便，链家好房，温馨一室,2600元/月,1室 1厅,中区/5层,暂无数据,杨浦 鞍山,本溪路149弄,本溪路149弄3-17号
和源馨苑，光线充足，出行方便，受欢迎好房,8500元/月,2室 2厅,中区/32层,朝南,闸北 西藏北路,和源馨苑,"育婴堂路38弄,育婴堂路39弄,京江路1......"
建华公寓，交通方便，简约二室，高区景观好,8600元/月,2室 2厅,高区/6层,朝南,浦东 花木,建华公寓,"花木路718弄,花木路788弄,花木路8......"
近地铁，链家好房，链家有钥匙，人气房源,8500元/月,2室 2厅,高区/16层,暂无数据,杨浦 东外滩,欧洲凯城园,许昌路328弄
共富一村，高区阳光房，如您所见，多次带看,3600元/月,2室 1厅,高区/6层,朝南,宝山 共富,共富一村,"共富一村,共富路99弄"
静安新城十二区，好房待租，高区采光好，地铁沿线,5300元/月,2室 1厅,高区/7层,暂无数据,闵行 静安新城,静安新城十二区,漕宝路1467弄十二区
近地铁，上下楼方便，有钥匙房源，实地看房,4800元/月,2室 1厅,低区/6层,朝南,徐汇 康健,科苑新村,冠生园路科苑新村1-43号
一室小户型，近地铁，钥匙在链家，多次带看,3700元/月,1室 1厅,中区/6层,朝南,浦东 塘桥,微山新村,微山新村
鸿发家园，地铁沿线，多次带看，钥匙房,4500元/月,2室 2厅,低区/6层,暂无数据,闵行 古美,鸿发家园,"古美西路899弄,龙茗路513弄95支弄"
上海师大新村，精致户型，链家好房，低楼层,4500元/月,2室 0厅,低区/6层,暂无数据,徐汇 康健,上海师大新村,桂林路70弄
高区阳光房，交通方便，有钥匙方便看，链家好房,4000元/月,1室 0厅,高区/6层,暂无数据,徐汇 田林,田林十一村,田林十一村
万里真金苑，采光好，链家房源，有钥匙,6500元/月,2室 2厅,高区/8层,朝南,普陀 万里,万里真金苑,真金路250弄
玉田新村，近地铁，链家房源，温馨一室,3500元/月,1室 0厅,低区/6层,暂无数据,虹口 曲阳,玉田新村,"玉田新村,"
一室小户型，视野开阔，人气房源，有钥匙房源,3500元/月,1室 1厅,高区/6层,暂无数据,浦东 南码头,临沂六村,"临沂路181弄,东方路3344弄1-26......"
电影华苑，1室1厅，链家有钥匙，交通便利,5600元/月,1室 1厅,中区/21层,暂无数据,徐汇 徐家汇,电影华苑,零陵路751弄
精致户型，多次带看，链家好房，低区出入方便,3000元/月,2室 1厅,低区/6层,暂无数据,浦东 川沙,妙境一村,"川环南路898弄,川环南路918弄"
公交新村，看房方便，近地铁，小户型,4800元/月,1室 1厅,中区/6层,朝南,杨浦 鞍山,公交新村,"四平路1230弄56号,"
新泾三村，一链倾城，简约二室，钥匙在链家,6000元/月,2室 1厅,低区/6层,朝东南,长宁 北新泾,新泾三村,新泾三村
密云小区，钥匙在链家，温馨一室，附近有地铁,5400元/月,1室 1厅,高区/18层,朝西南,杨浦 鞍山,密云小区,"密云路454弄,"
玉田新村，实地看房，钥匙在店，交通便利,3400元/月,1室 0厅,中区/5层,暂无数据,虹口 曲阳,玉田新村,"玉田新村,"
房型正气，1室1厅，上下楼方便，附近有地铁,3500元/月,1室 1厅,低区/18层,朝南北,松江 松江大学城,御上海,谷阳北路2399弄
有钥匙方便看，一室小户型，低楼层，交通方便,4200元/月,1室 0厅,中区/5层,暂无数据,静安 曹家渡,万春小区,"万春街162弄56支弄2-30号（双）,......"
江南新村，有钥匙，高区景观房，2室1厅,5800元/月,2室 1厅,高区/5层,朝南,徐汇 斜土路,江南新村（徐汇）,"小木桥路511弄,"
丰庄二村，钥匙房，受欢迎好房，交通便利,3200元/月,1室 1厅,高区/6层,暂无数据,嘉定 丰庄,丰庄二村,丰庄二村
实地看房，钥匙房，2室1厅1卫，如您所见,5000元/月,2室 1厅,低区/6层,暂无数据,闵行 龙柏,龙柏二村,龙柏二村1-253号
田林三村，放心好房，近地铁，低楼层,5500元/月,2室 1厅,低区/6层,暂无数据,徐汇 田林,田林三村,田林三村
南泉小区，看房有钥匙，温馨一室，放心好房,4500元/月,1室 0厅,中区/6层,暂无数据,浦东 塘桥,南泉小区,"南泉路1250弄,南泉路1300弄,南泉......"
眉州路432弄，链家有钥匙，低区出入方便，受欢迎好房,5000元/月,2室 1厅,低区/7层,暂无数据,杨浦 东外滩,眉州路432弄,眉州路432弄
万邦都市花园，生活很便利，好房好心情，3室2厅,11500元/月,3室 2厅,低区/11层,暂无数据,浦东 北蔡,万邦都市花园,龙阳路1880弄
怡桂苑，光线充足，最近看房多，链家房源,5500元/月,1室 1厅,中区/20层,暂无数据,徐汇 田林,怡桂苑,桂林路505弄
小户型，一链倾城，有钥匙方便看，实地看房,5600元/月,1室 1厅,低区/6层,暂无数据,长宁 中山公园,安阳小区,安化路470弄
受欢迎好房，交通方便，高区阳光房，3房出租,7200元/月,3室 2厅,高区/6层,暂无数据,浦东 三林,金地湾流域(公寓),"尚博路366弄,尚博路518弄,尚博路5......"
名都新城，地铁沿线，看房客户多，链家房源,8000元/月,3室 2厅,中区/11层,暂无数据,闵行 莘庄,名都新城,"名都路20弄,友情路50弄,富都路55弄......"
钥匙在链家，最近看房多，精致户型，生活很便利,4500元/月,2室 1厅,高区/6层,暂无数据,闵行 七宝,三佳花苑,新镇路1060弄
松花一村，实地看房，链家好房，有钥匙,3200元/月,1室 0厅,中区/5层,朝北,杨浦 黄兴公园,松花一村,松花一村
人气房源，2室1厅1卫，近地铁，有钥匙,6200元/月,2室 1厅,低区/29层,暂无数据,黄浦 打浦桥,南园小区,打浦路457弄
2室1厅1卫，交通方便，有钥匙，高区景观好,4500元/月,2室 1厅,高区/6层,暂无数据,宝山 高境,吉浦路615弄,吉浦路615弄
链家好房，钥匙在链家，近地铁，光线充足,6500元/月,2室 1厅,中区/28层,暂无数据,徐汇 田林,田林新苑,田林东路414弄
蓝朝部落，闹中取静，生活很便利，温馨之家,5500元/月,1室 0厅,高区/32层,朝南,静安 曹家渡,蓝朝部落,万航渡路858弄8号
有钥匙，精致户型，高区景观房，生活很便利,5000元/月,2室 0厅,高区/6层,朝西南,黄浦 打浦桥,斜土路723弄,斜土路723弄
九歌上郡，钥匙在链家，交通方便，1室1厅,5200元/月,1室 1厅,低区/11层,朝南,闵行 静安新城,九歌上郡,宜山路2328弄
怡桂苑，有爱有家，温馨之家，采光好,5700元/月,1室 1厅,高区/20层,暂无数据,徐汇 田林,怡桂苑,桂林路505弄
三泾北宅小区，低区出入方便，看房方便，温馨一室,4000元/月,1室 0厅,低区/6层,暂无数据,长宁 中山公园,三泾北宅小区,长宁路1135弄
漕溪二村，人气房源，闹中取静，钥匙在链家,3200元/月,1室 0厅,高区/6层,暂无数据,徐汇 万体馆,漕溪二村,漕溪二村
古美西路420弄，链家有钥匙，放心好房，简约二室,5000元/月,2室 1厅,高区/6层,暂无数据,闵行 古美,古美西路420弄,古美西路420弄
桃浦六村绿春苑，生活很便利，高区阳光房，有钥匙房源,3500元/月,2室 2厅,高区/6层,暂无数据,普陀 桃浦,桃浦六村绿春苑,雪松路392弄51-143号
好房好心情，看房有钥匙，附近有地铁，采光棒,4000元/月,1室 0厅,高区/6层,暂无数据,虹口 鲁迅公园,何家宅小区,"水电路191弄,"
樱花园，光线充足，链家有钥匙，如您所见,4300元/月,2室 1厅,中区/6层,朝南,徐汇 康健,樱花园（徐汇）,"桂平支路20弄（东樱花园）,桂平支路35......"
大华锦绣华城，放心好房，地铁沿线，南北户型,5800元/月,2室 1厅,高区/10层,朝南北,浦东 北蔡,大华锦绣华城（二街区）,"华绣路18弄,北艾路1500弄,北艾路1......"
贵峰苑，简约二室，放心好房，有钥匙,3500元/月,2室 1厅,高区/6层,暂无数据,闵行 颛桥,贵峰苑,"三期都市路3635弄,四期、五期金都路3......"
好房待租，有钥匙方便看，精致户型，上下楼方便,4000元/月,2室 0厅,低区/6层,暂无数据,闸北 彭浦,康平小区,"临汾路894弄,临汾路850弄,汾西路8......"
四和花园，附近有地铁，多次带看，有钥匙,6500元/月,2室 1厅,低区/31层,朝西南,静安 曹家渡,四和花园,"新闸路1910弄,新闸路1940弄"
范东铁路小区，光线非常好，钥匙在店，受欢迎好房,6500元/月,1室 1厅,高区/6层,暂无数据,长宁 中山公园,范东铁路小区,长宁路1120弄
一室小户型，光线非常好，看房有钥匙，最近看房多,5000元/月,1室 1厅,高区/29层,暂无数据,徐汇 田林,钦州花苑,"钦州路840号,钦州路860号,钦州路8......"
看房客户多，链家房源，简约二室，低区出入方便,8200元/月,2室 1厅,低区/24层,朝南,徐汇 徐家汇,橡胶小区,宛平南路19弄
天蒲小区，钥匙房，放心好房，1室0厅,3700元/月,1室 0厅,中区/6层,暂无数据,长宁 北新泾,天蒲小区,"天山西路80弄,"
最近看房多，精致户型，链家房源，近地铁,18000元/月,2室 2厅,中区/24层,朝南,徐汇 徐家汇,莱诗邸,南丹东路223弄
生活很便利，适合自住，有钥匙方便看，好房待租,15000元/月,2室 2厅,中区/16层,暂无数据,浦东 杨东,陆家嘴中央公寓,东绣路99弄
低区出入方便，看房方便，生活很便利，看房客户多,4800元/月,2室 1厅,低区/7层,朝南,浦东 北蔡,惠德新邨,芳华路573弄
万邦都市花园，上下楼方便，最近看房多，温馨一室,6500元/月,1室 1厅,低区/15层,朝南,浦东 北蔡,万邦都市花园,龙阳路1880弄
地铁沿线，有爱有家，看房客户多，简约二室,4300元/月,2室 1厅,中区/6层,朝南,闵行 莘庄,开城新村,莘朱路81弄
附近有地铁，享受好房，低区出入方便，看房方便,3800元/月,1室 0厅,低区/6层,朝南,杨浦 五角场,政民路230弄,政民路230弄
四平路幸福村，生活很便利，看房方便，实地看房,4300元/月,1室 0厅,中区/6层,暂无数据,虹口 曲阳,四平路幸福村,四平路幸福村
最近看房多，出行方便，小户型，钥匙房,4000元/月,1室 1厅,低区/25层,朝东,普陀 长寿路,世纪之门,江宁路1415弄
原水小区，地铁沿线，实地看房，上下楼方便,8500元/月,2室 1厅,低区/6层,朝南,长宁 中山公园,原水小区,江苏路502弄20支弄
地铁沿线，最近看房多，光线棒，好房好心情,3800元/月,1室 1厅,高区/6层,朝南,长宁 新华路,中华小区,"长顺路21-81号,长顺路95-100号......"
